,no,date,lon,lat,depth,scale,month
66,第018號,2013-02-17 09:32:00,121.45,24.32,6.3,4.6,2
68,第019號,2013-02-17 09:37:00,121.44,24.32,6.3,3.9,2
70,小區域,2013-02-17 13:04:00,121.68,24.07,42.9,4.1,2
72,小區域,2013-02-18 00:55:00,121.44,24.35,7.2,3.6,2
74,小區域,2013-02-19 00:26:00,121.95,24.46,12.7,2.8,2
76,小區域,2013-02-19 00:27:00,121.97,24.44,11.9,3.1,2
78,第020號,2013-02-19 00:58:00,119.88,22.61,46.2,3.7,2
80,小區域,2013-02-19 05:25:00,120.88,23.48,3.2,3.6,2
82,第021號,2013-02-19 10:12:00,120.55,23.35,15.1,4.6,2
84,第022號,2013-02-19 14:52:00,120.6,22.91,15.6,4.7,2
86,小區域,2013-02-19 15:45:00,121.47,24.37,8.6,3.4,2
88,第023號,2013-02-20 23:20:00,121.39,23.23,20.0,4.5,2
90,小區域,2013-02-21 00:02:00,121.38,23.23,18.9,3.5,2
92,第024號,2013-02-22 02:33:00,121.45,24.31,5.3,4.4,2
94,小區域,2013-02-22 02:35:00,121.45,24.31,6.6,3.4,2
96,第025號,2013-02-22 02:35:00,121.44,24.31,6.4,4.8,2
98,小區域,2013-02-22 02:39:00,121.44,24.3,6.7,3.2,2
100,小區域,2013-02-22 05:22:00,121.44,24.3,6.8,3.3,2
102,小區域,2013-02-22 08:30:00,121.44,24.32,6.3,3.2,2
104,小區域,2013-02-23 12:00:00,121.72,24.34,16.6,3.0,2
106,小區域,2013-02-24 08:27:00,122.83,24.55,96.5,4.6,2
108,小區域,2013-02-25 21:08:00,121.71,24.47,8.1,3.2,2
110,小區域,2013-02-27 04:38:00,121.45,24.31,6.0,3.6,2
112,小區域,2013-02-27 17:26:00,121.44,24.32,7.3,3.2,2
0,小區域,2013-03-01 19:21:00,120.95,22.42,15.7,3.5,3
2,小區域,2013-03-02 23:01:00,121.4,24.09,60.1,4.0,3
4,小區域,2013-03-04 08:42:00,121.44,24.31,6.5,3.2,3
6,小區域,2013-03-04 15:21:00,120.57,23.57,10.5,3.0,3
8,第026號,2013-03-04 16:42:00,121.33,23.0,23.7,4.6,3
10,小區域,2013-03-04 18:28:00,121.44,24.33,7.2,3.0,3
12,小區域,2013-03-04 21:16:00,121.62,23.8,34.5,3.6,3
14,小區域,2013-03-05 21:08:00,121.91,24.74,81.7,4.0,3
16,小區域,2013-03-06 05:24:00,121.44,24.33,7.2,3.5,3
18,第027號,2013-03-06 19:49:00,121.97,24.44,13.4,4.4,3
20,第028號,2013-03-07 06:37:00,122.1,24.61,69.8,4.7,3
22,小區域,2013-03-07 07:35:00,121.93,24.44,14.2,3.0,3
24,小區域,2013-03-07 09:36:00,121.44,24.3,6.6,3.1,3
26,第029號,2013-03-07 11:36:00,121.46,24.3,5.6,5.9,3
28,小區域,2013-03-07 11:39:00,121.42,24.31,7.9,3.9,3
30,小區域,2013-03-07 11:46:00,121.44,24.28,7.2,3.4,3
32,小區域,2013-03-07 11:54:00,121.44,24.32,5.8,2.9,3
34,小區域,2013-03-07 11:58:00,121.44,24.34,6.9,3.3,3
36,小區域,2013-03-07 12:03:00,121.44,24.34,6.9,3.7,3
38,小區域,2013-03-07 12:04:00,121.43,24.34,6.0,3.4,3
40,小區域,2013-03-07 12:16:00,121.44,24.29,7.2,3.4,3
42,小區域,2013-03-07 12:28:00,121.44,24.28,6.9,3.6,3
44,第030號,2013-03-07 12:52:00,121.44,24.28,7.2,4.3,3
46,小區域,2013-03-07 13:06:00,121.45,24.33,5.9,3.1,3
48,小區域,2013-03-07 13:27:00,121.44,24.28,7.2,2.9,3
50,小區域,2013-03-07 14:56:00,121.44,24.29,6.8,3.3,3
52,第031號,2013-03-07 15:00:00,121.43,24.29,7.4,3.9,3
54,小區域,2013-03-07 15:27:00,121.43,24.34,6.5,2.9,3
56,小區域,2013-03-07 15:57:00,121.44,24.35,7.7,4.0,3
58,第032號,2013-03-07 16:07:00,121.45,24.34,6.0,4.6,3
60,小區域,2013-03-07 17:57:00,121.44,24.35,7.2,3.1,3
62,小區域,2013-03-07 19:02:00,121.44,24.35,6.3,3.8,3
64,小區域,2013-03-07 20:44:00,121.44,24.29,6.6,3.2,3
66,小區域,2013-03-08 08:19:00,121.47,24.3,7.7,2.9,3
