hour,loc,pollutant,value
23,三重,SO2,3.484523809523811
24,三重,SO2,3.114029850746268
1,中壢,NO2,20.410055865921787
2,中壢,NO2,17.444662921348314
3,中壢,NO2,16.0028653295129
4,中壢,NO2,14.952824858757063
5,中壢,NO2,14.817847025495748
6,中壢,NO2,17.40676056338028
7,中壢,NO2,25.23971830985915
8,中壢,NO2,30.360281690140845
9,中壢,NO2,30.100847457627122
10,中壢,NO2,30.473728813559323
11,中壢,NO2,30.30916905444126
12,中壢,NO2,29.24550898203593
13,中壢,NO2,26.522965116279067
14,中壢,NO2,25.954571428571423
15,中壢,NO2,26.77522123893805
16,中壢,NO2,29.133522727272727
17,中壢,NO2,31.40223463687151
18,中壢,NO2,34.70914127423823
19,中壢,NO2,35.34444444444444
20,中壢,NO2,33.818784530386736
21,中壢,NO2,32.892265193370164
22,中壢,NO2,32.30939226519337
23,中壢,NO2,28.56574585635359
24,中壢,NO2,24.012742382271465
1,中壢,PM10,59.386740331491715
2,中壢,PM10,56.70360110803324
3,中壢,PM10,53.77158774373259
4,中壢,PM10,52.874301675977655
5,中壢,PM10,51.99162011173184
6,中壢,PM10,52.21348314606742
7,中壢,PM10,55.067796610169495
8,中壢,PM10,60.48414985590778
9,中壢,PM10,64.72886297376094
10,中壢,PM10,66.93768545994065
11,中壢,PM10,66.66463414634147
12,中壢,PM10,66.6470588235294
13,中壢,PM10,66.35223880597015
14,中壢,PM10,65.31987577639751
15,中壢,PM10,65.13897280966768
16,中壢,PM10,65.49266862170089
17,中壢,PM10,65.91253644314868
18,中壢,PM10,66.76657060518733
19,中壢,PM10,68.17696629213484
20,中壢,PM10,67.42659279778394
21,中壢,PM10,66.02486187845304
22,中壢,PM10,65.49862258953168
23,中壢,PM10,64.39285714285714
24,中壢,PM10,62.63636363636363
1,中壢,SO2,4.34241573033708
2,中壢,SO2,3.9471751412429414
3,中壢,SO2,3.8375000000000017
4,中壢,SO2,3.7857549857549837
5,中壢,SO2,3.8528571428571383
6,中壢,SO2,4.073638968481377
7,中壢,SO2,4.911461318051578
8,中壢,SO2,5.76647564469914
9,中壢,SO2,5.542979942693409
10,中壢,SO2,5.2736389684813725
11,中壢,SO2,4.789855072463766
12,中壢,SO2,4.311676646706583
13,中壢,SO2,4.037941176470587
14,中壢,SO2,3.83333333333333
15,中壢,SO2,3.656586826347308
16,中壢,SO2,3.7497142857142864
17,中壢,SO2,3.865642458100559
18,中壢,SO2,4.383519553072626
19,中壢,SO2,4.838375350140055
20,中壢,SO2,5.054596100278552
21,中壢,SO2,5.249025069637882
22,中壢,SO2,5.42367688022284
23,中壢,SO2,5.266852367688022
24,中壢,SO2,4.714525139664806
1,中山,NO2,21.622950819672123
2,中山,NO2,18.646005509641867
3,中山,NO2,16.984890109890106
4,中山,NO2,15.09083333333333
5,中山,NO2,14.261281337047347
6,中山,NO2,15.51325966850829
7,中山,NO2,21.254395604395604
8,中山,NO2,27.531868131868126
9,中山,NO2,31.385318559556783
10,中山,NO2,31.55124653739612
11,中山,NO2,29.769452449567723
12,中山,NO2,27.57029411764706
13,中山,NO2,25.555780346820807
14,中山,NO2,25.200569800569795
15,中山,NO2,26.38510028653295
16,中山,NO2,27.896348314606737
17,中山,NO2,30.714444444444446
18,中山,NO2,34.80358126721763
19,中山,NO2,37.392876712328764
20,中山,NO2,35.42876712328767
21,中山,NO2,33.02246575342466
22,中山,NO2,31.43516483516484
23,中山,NO2,30.10136612021858
24,中山,NO2,25.99754098360656
1,中山,PM10,41.24293785310734
2,中山,PM10,38.6169014084507
3,中山,PM10,38.0
4,中山,PM10,36.60734463276836
5,中山,PM10,35.898305084745765
6,中山,PM10,34.813559322033896
7,中山,PM10,35.50282485875706
8,中山,PM10,37.352112676056336
9,中山,PM10,40.29661016949152
10,中山,PM10,44.48450704225352
11,中山,PM10,47.38053097345133
12,中山,PM10,49.72334293948127
13,中山,PM10,50.332394366197185
14,中山,PM10,48.3448275862069
15,中山,PM10,47.54022988505747
16,中山,PM10,47.46742209631728
17,中山,PM10,47.49152542372882
18,中山,PM10,47.240793201133144
19,中山,PM10,46.706214689265536
20,中山,PM10,45.77183098591549
21,中山,PM10,44.48732394366197
22,中山,PM10,42.55211267605634
23,中山,PM10,43.22816901408451
24,中山,PM10,42.355932203389834
1,中山,SO2,2.679831932773111
2,中山,SO2,2.7088888888888905
3,中山,SO2,2.674651810584958
4,中山,SO2,2.657103064066851
5,中山,SO2,2.4532212885154046
6,中山,SO2,2.4280112044817934
7,中山,SO2,2.6117647058823517
8,中山,SO2,3.061731843575419
9,中山,SO2,3.4107648725212463
10,中山,SO2,3.1929178470254946
11,中山,SO2,3.033137829912022
12,中山,SO2,2.9577039274924473
13,中山,SO2,2.911403508771931
14,中山,SO2,2.9179710144927546
15,中山,SO2,2.914825581395351
16,中山,SO2,2.794508670520231
17,中山,SO2,2.782865168539325
18,中山,SO2,2.8626740947075215
19,中山,SO2,3.0709141274238236
20,中山,SO2,2.9401114206128103
21,中山,SO2,2.761173184357542
22,中山,SO2,2.874438202247192
23,中山,SO2,2.89887955182073
24,中山,SO2,2.8159663865546203
1,古亭,NO2,16.125619834710744
2,古亭,NO2,13.43543956043957
3,古亭,NO2,11.81101928374655
4,古亭,NO2,10.436639118457308
5,古亭,NO2,10.03002754820937
6,古亭,NO2,11.581818181818178
7,古亭,NO2,17.19393939393939
8,古亭,NO2,22.201104972375692
9,古亭,NO2,24.512569832402235
10,古亭,NO2,24.620775623268703
11,古亭,NO2,22.95185185185185
12,古亭,NO2,21.756321839080464
13,古亭,NO2,20.322905027932965
14,古亭,NO2,19.687499999999996
15,古亭,NO2,20.983625730994156
16,古亭,NO2,22.29192200557103
17,古亭,NO2,24.62651933701657
18,古亭,NO2,28.254545454545454
19,古亭,NO2,30.21126373626374
20,古亭,NO2,28.48708791208791
21,古亭,NO2,26.100546448087428
22,古亭,NO2,25.14672131147541
23,古亭,NO2,23.981693989071037
24,古亭,NO2,20.073626373626368
1,古亭,PM10,42.13597733711048
2,古亭,PM10,40.53389830508475
3,古亭,PM10,39.03399433427762
4,古亭,PM10,38.61756373937677
5,古亭,PM10,38.22379603399433
6,古亭,PM10,37.85552407932011
7,古亭,PM10,38.20963172804532
