Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,TPE,DEL,China Airlines (CI),China Airlines,2715,05:55,,,,,333$gc,,,"Direct",2276,3093,1756
- -,TPE,DLC,Uni Air (B7),Uni Air,959,02:25,,,,,332 738$gc,,,"Codeshare",2276,3404,9082
- -,TPE,DLC,China Airlines (CI),China Airlines,959,02:25,,,,,333$gc,,,"Direct",2276,3404,1756
- -,TPE,DLC,China Southern Airlines (CZ),China Southern Airlines,959,02:25,,,,,321$gc,,,"Direct",2276,3404,1767
- -,TPE,DLC,Hainan Airlines (HU),Hainan Airlines,959,02:25,,,,,738$gc,,,"Direct",2276,3404,2660
- -,TPE,DPS,EVA Air (BR),EVA Air,2371,05:14,,,,,332$gc,,,"Direct",2276,3940,2091
- -,TPE,DPS,China Airlines (CI),China Airlines,2371,05:14,,,,,333$gc,,,"Direct",2276,3940,1756
- -,TPE,DPS,Garuda Indonesia (GA),Garuda Indonesia,2371,05:14,,,,,333$gc,,,"Codeshare",2276,3940,2520
- -,TPE,DYG,TransAsia Airways (GE),TransAsia Airways,718,01:56,,,,,321$gc,,,"Direct",2276,6353,5038
- -,TPE,FOC,Uni Air (B7),Uni Air,114,00:43,,,,,M90$gc,,,"Direct",2276,3385,9082
- -,TPE,FOC,Xiamen Airlines (MF),Xiamen Airlines,114,00:43,,,,,738$gc,,,"Direct",2276,3385,5484
- -,TPE,FRA,China Airlines (CI),China Airlines,5817,12:08,,,,,744$gc,,,"Direct",2276,340,1756
- -,TPE,FSZ,China Airlines (CI),China Airlines,1213,02:55,,,,,738$gc,,,"Direct",2276,6476,1756
- -,TPE,FUK,EVA Air (BR),EVA Air,807,02:06,,,,,333$gc,,,"Direct",2276,2305,2091
- -,TPE,FUK,China Airlines (CI),China Airlines,807,02:06,,,,,343 744 333 738$gc,,,"Direct",2276,2305,1756
- -,TPE,FUK,Cathay Pacific (CX),Cathay Pacific,807,02:06,,,,,773 772$gc,,,"Direct",2276,2305,1680
- -,TPE,FUK,Japan Airlines (JL),Japan Airlines,807,02:06,,,,,773$gc,,,"Codeshare",2276,2305,2987
- -,TPE,FUK,All Nippon Airways (NH),All Nippon Airways,807,02:06,,,,,333$gc,,,"Codeshare",2276,2305,324
- -,TPE,GUM,EVA Air (BR),EVA Air,1727,03:57,,,,,332$gc,,,"Direct",2276,2246,2091
- -,TPE,GUM,China Airlines (CI),China Airlines,1727,03:57,,,,,333$gc,,,"Direct",2276,2246,1756
- -,TPE,HAK,China Airlines (CI),China Airlines,773,02:02,,,,,E90$gc,,,"Direct",2276,4120,1756
